"";"p_sr";"p_mr";"p_pr";"p_ft";"p_rf";"nn"
"2594";12331,3203188363;13746,3033519853;12846,7669699837;11719,6484549964;6959,67941404732;-0,737248850154753
"2595";21592,6655133744;12478,5565092824;21291,8690083808;5430,53668227666;20146,284330047;-0,1811649751503
"2596";13558,7275132932;22394,1446018973;13515,6657538545;22430,5430709877;11566,2870342129;-0,677884528046715
"2597";12666,0677355064;5676,12659370527;13013,5470279001;11254,1980058178;8410,63183514295;-0,723565935035386
"2598";13447,1450410698;11935,5882233661;13448,410172693;11719,6484549964;11084,4498204678;-0,182439811503437
"2599";14897,7171799734;8851,66335055139;14419,5613205905;11719,6484549964;12518,6112335927;-0,0553084606151614
"2600";16013,5419022069;16791,7972181346;15304,088695771;23880,0760361371;14185,2249047646;-0,360614333203878
"2601";17129,3666244404;10011,2356401635;16301,2942617868;11254,1980058178;15494,3439398424;-0,503928548432954
"2602";24382,2273189582;46116,8730490068;25097,9191064572;80588,4320458424;16955,1727209653;2,3968471038115
"2603";19361,0160689074;20884,3647994976;18608,7340811599;23880,0760361371;17571,9750816846;0,0844670646063101
"2604";22708,4902356079;18912,1469651535;22758,6934592063;11254,1980058178;20764,1511358199;0,254137816362821
"2605";14304,4554916563;8991,31075428426;13997,3044337433;11254,1980058178;11974,9449;-0,897872696287605
"2606";22708,4902356079;14160,3931611106;22758,6934592063;11254,1980058178;20764,1511358199;-0,0654042014011472
"2607";19361,0160689074;26535,6468601404;18608,7340811599;23880,0760361371;17571,9750816846;-0,350788750229198
"2608";13716,6501862309;48128,6778384643;13613,0120483041;52903,2995233519;3000;-0,362122187027868
"2609";24940,139680075;24995,1432944965;25911,598978832;23880,0760361371;21495,9952811797;0,782091769619067
"2610";55674,6055194775;54831,9936200753;73173,4017765133;71359,6799292585;32297,9422128258;2,78364505042886
"2611";26055,9644023085;9590,0246799551;27585,1771050498;22713,5640301003;21146,5073258851;0,0912382907994575
"2612";78475,5496620988;82711,9848913848;61809,1687868378;71359,6799292585;66324,3873578;2,78544051864218
"2613";18245,1913466739;211,776361742057;17404,9265473468;5430,53668227666;17142,5483547113;-0,415203114053778
"2614";17129,3666244404;27782,0202876227;16301,2942617868;23880,0760361371;15494,3439398424;-0,157019160766486
"2615";27200,7113013423;59150,197854016;29360,7055589599;80588,4320458424;33409,8056128258;0,775135432865821
"2616";10981,1724049338;27950,1558879102;12297,6033148163;22430,5430709877;5809,2704;-0,35605003509168
"2617";17129,3666244404;6684,67456469685;16301,2942617868;5430,53668227666;15494,3439398424;-0,277241902481701
